MRS,SRS,TCS,TRP,ARC,SWD
MRS-001,SRS-004,TCS-004,TRP-004,,
MRS-001,,,,ARC-003,SWD-003
MRS-002,SRS-007,TCS-007,TRP-007,,
MRS-002,,,,ARC-009,SWD-009
MRS-003,SRS-005,TCS-005,TRP-005,,
MRS-003,,,,ARC-007,SWD-007
MRS-004,SRS-002,TCS-002,TRP-002,,
MRS-004,,,,ARC-002,SWD-002
MRS-005,SRS-006,TCS-006,TRP-006,,
MRS-005,,,,ARC-005,SWD-005
MRS-006,SRS-008,TCS-008,TRP-008,,
MRS-006,,,,ARC-006,SWD-006
MRS-007,SRS-009,TCS-009,TRP-009,,
MRS-007,,,,ARC-001,SWD-001
MRS-008,SRS-003,TCS-003,TRP-003,,
MRS-008,,,,ARC-004,SWD-004
MRS-009,SRS-010,TCS-010,TRP-010,,
MRS-009,,,,ARC-008,SWD-008
MRS-010,SRS-001,TCS-001,TRP-001,,
MRS-010,,,,ARC-010,SWD-010
MRS-011,SRS-011,TCS-011,TRP-011,,
MRS-011,SRS-011,TCS-012,TRP-012,,
MRS-011,SRS-012,TCS-013,TRP-013,,
MRS-011,SRS-013,,,,
MRS-011,,,,ARC-011,SWD-011
